AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2711,-0.1976,0.912,-0.1796,0.7345,0.3408,-2.94,1.0325,-10.64,-12.22507884131804,-16.195471145374416,-98.84533244574911
-0.2744,-0.1981,0.9119,-0.1797,0.7331,0.3379,-3.0363,1.8987,-11.0425,-12.25635171116413,-16.375384926016366,-98.88127600563669
-0.2743,-0.1975,0.9113,-0.1797,0.7331,0.3379,-2.8525,1.5575,-10.6662,-12.228292215546457,-16.39134247276078,-98.87282276322489
-0.2769,-0.1962,0.9141,-0.181,0.7343,0.3377,-2.9663,1.4262,-10.57,-12.114289863137268,-16.492176172273773,-98.9012996204289
-0.2755,-0.1978,0.9176,-0.181,0.7343,0.3377,-3.2987,1.085,-10.6138,-12.164552759092333,-16.364115432219688,-98.95189415515249
-0.2745,-0.1986,0.9093,-0.1786,0.7314,0.338,-2.7738,0.7525,-10.815,-12.320111832807992,-16.428680788475106,-98.8184114770205
-0.2744,-0.1976,0.9102,-0.1778,0.7334,0.3378,-4.375,1.1025,-9.8087,-12.24874030009722,-16.416187926447154,-98.74239820692158
-0.2735,-0.199,0.9129,-0.1778,0.7334,0.3378,-3.43,1.26,-10.01,-12.297224817712545,-16.32126841127904,-98.78090751251966
-0.2719,-0.1972,0.9136,-0.186,0.7342,0.3373,-2.835,1.1112,-10.5175,-12.180665675368704,-16.22586100762924,-99.34134225690964
-0.2724,-0.1984,0.9185,-0.186,0.7342,0.3373,-3.5,1.4437,-10.3425,-12.188852073937186,-16.169339995324464,-99.35858970775008
-0.2693,-0.1984,0.9132,-0.1778,0.7338,0.34,-3.1325,0.8925,-10.5262,-12.257316937455196,-16.080596398849003,-98.78645966807355
-0.2734,-0.1989,0.9095,-0.181,0.735,0.3378,-3.7625,1.2425,-9.9312,-12.335706284586898,-16.35023495624826,-98.98377318191204
-0.2729,-0.198,0.9179,-0.181,0.735,0.3378,-3.0363,1.365,-10.29,-12.173131980987721,-16.213046820702427,-98.98804390388236
-0.2746,-0.1981,0.9157,-0.1802,0.7324,0.3376,-3.465,0.9975,-10.4387,-12.207011592047046,-16.32928847501231,-98.92834618925076
-0.2766,-0.1993,0.9077,-0.1802,0.7324,0.3376,-3.92,1.2512,-10.2812,-12.38327366984514,-16.561639144327614,-98.90662490285266
-0.2732,-0.1972,0.9153,-0.179,0.7347,0.34,-2.66,1.54,-10.9287,-12.158972847688977,-16.282715323108107,-98.78637748337393
-0.2741,-0.1981,0.9079,-0.181,0.7353,0.3372,-2.835,1.2337,-10.3863,-12.308426637068443,-16.42606242265383,-98.96999922854744
-0.2758,-0.1982,0.9156,-0.181,0.7353,0.3372,-3.2638,1.19,-10.6575,-12.214587067257838,-16.405814510362507,-98.9552721601
-0.2749,-0.1972,0.9128,-0.181,0.7321,0.3367,-3.8413,1.1812,-9.9837,-12.190800947493432,-16.403010857180455,-98.9824478080792
-0.2752,-0.1976,0.911,-0.181,0.7321,0.3367,-3.5438,1.3825,-10.325,-12.23802525155364,-16.445260697136646,-98.98179357554648
-0.2744,-0.1981,0.9052,-0.1801,0.734,0.3366,-3.2375,1.4875,-10.5525,-12.344119804406658,-16.492795228193593,-98.9231459592122
